Name,Preis,Links,Event
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742320618_P3OifpYgi8ma_h1z&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
winzige Wohnung,95 CHF,https://www.airbnb.ch/rooms/54369584?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320637_P3xQyfXWwsWUWuFL&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Altbau-Oase/ Zentral & Gemütlich,145 CHF,https://www.airbnb.ch/rooms/1378779785675848684?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320638_P31f15DrY8aRCWHd&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Zimmer mit separater Dusche,38 CHF,https://www.airbnb.ch/rooms/32656994?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=997136320&source_impression_id=p3_1742320638_P3AOrmsycWlRr87R&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320638_P39KQEgKZXzyyuNV&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,https://www.airbnb.ch/rooms/697517?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1349005821&source_impression_id=p3_1742320639_P34SZwryhz-aIfIh&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
"gemütliches Studio im EG, im Appenzellerland",53 CHF,https://www.airbnb.ch/rooms/49508201?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320640_P3Q19_CWYewaji3c&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",44 CHF,https://www.airbnb.ch/rooms/43076325?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1136469183&source_impression_id=p3_1742320640_P3hcRzPmlQrbTly0&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
"Schönes Einzelzimmer, zentral",30 CHF,https://www.airbnb.ch/rooms/1249206762119913900?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2077775382&source_impression_id=p3_1742320641_P3hvbxw6AT4xQXEw&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Moderne Wohnung nahe OLMA Messe,190 CHF,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320641_P3nb8KKiXsWGOq1o&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,https://www.airbnb.ch/rooms/964210138285327314?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320641_P3nmLOpHnRe1Lg-q&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
gemütliches Zimmer mit Privatsphäre,39 CHF,https://www.airbnb.ch/rooms/33425237?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1682983843&source_impression_id=p3_1742320641_P3JqMfnyMRJn4rld&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Frisch Renovierte Wohnung,87 CHF,https://www.airbnb.ch/rooms/1378365051883699202?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320641_P3K6tDpS-Lx55dD9&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Zentrale Stadtwohnung mit Terasse,180 CHF,https://www.airbnb.ch/rooms/42128949?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320641_P3OPI3rAIfffhfN6&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Im Grünen nahe des Zentrum (Familienzimmer 2+2),60 CHF,https://www.airbnb.ch/rooms/18440897?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=300964172&source_impression_id=p3_1742320641_P3hLSTVpijHbCxjL&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
"Birkenhof, Haus Märli",500 CHF,https://www.airbnb.ch/rooms/1254262698928353569?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742320641_P3Zwojeh8FoucwR9&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Komfortables Doppelzimmer – zentral,34 CHF,https://www.airbnb.ch/rooms/1257925754839001182?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2003974947&source_impression_id=p3_1742320641_P39I90nr-FR4v5O1&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Nah an der Natur und ÖV vor der Tür (mit Ticket),65 CHF,https://www.airbnb.ch/rooms/7655133?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1421192468&source_impression_id=p3_1742320641_P3MQQVhM3xGJXCIl&previous_page_section_name=1000&federated_search_id=ec47c896-4e13-41e8-a19d-d7aee904a5d0,Open Air
Zentrale Stadtwohnung mit Terasse,180 CHF,https://www.airbnb.ch/rooms/42128949?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321970_P3BXDcYBttElHCjZ&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Charmante Wohnung in Nähe WBZ Holzweid (HSG),130 CHF,https://www.airbnb.ch/rooms/921752024715826992?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321988_P385dEqmnHUrimRj&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Leimathof Attica,149 CHF,https://www.airbnb.ch/rooms/34164018?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321993_P3gS31EUGoLjlr9P&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Moderne Wohnung nahe OLMA Messe,190 CHF,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321997_P3MHse9Ra9wQsISs&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742321997_P3wdiZ6Nz79GHFn_&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,https://www.airbnb.ch/rooms/697517?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1349005821&source_impression_id=p3_1742321999_P3ewR5rQnHM5rOhb&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321999_P30AxeEoNMvHhZ4s&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
winzige Wohnung,95 CHF,https://www.airbnb.ch/rooms/54369584?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321999_P3ZZEdt4g-90ydog&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Zimmer mit separater Dusche,38 CHF,https://www.airbnb.ch/rooms/32656994?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=997136320&source_impression_id=p3_1742321999_P37w_lDn-uSprgTj&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Altbau-Oase/ Zentral & Gemütlich,145 CHF,https://www.airbnb.ch/rooms/1378779785675848684?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321999_P3BkN8CFkicYIEK7&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
"Schönes Einzelzimmer, zentral",30 CHF,https://www.airbnb.ch/rooms/1249206762119913900?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2077775382&source_impression_id=p3_1742321999_P3VH8G8cL35CIHV7&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,https://www.airbnb.ch/rooms/964210138285327314?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321999_P3QL20JqpogLp7rT&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Gartenstudio in Appenzellerhaus,52 CHF,https://www.airbnb.ch/rooms/3581317?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742321999_P3eJgoVIqhIRScMp&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Nah an der Natur und ÖV vor der Tür (mit Ticket),65 CHF,https://www.airbnb.ch/rooms/7655133?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1421192468&source_impression_id=p3_1742321999_P39YRkU3hBfwAmfV&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
Im Grünen nahe des Zentrum (Familienzimmer 2+2),60 CHF,https://www.airbnb.ch/rooms/18440897?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=300964172&source_impression_id=p3_1742322000_P3BMUQjiGvSvOFD0&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
"Birkenhof, Haus Märli",500 CHF,https://www.airbnb.ch/rooms/1254262698928353569?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742322002_P33yNKRDSSMu-mUg&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",274 CHF,https://www.airbnb.ch/rooms/1309616210634972262?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742322002_P3y9x5nufUno2yEa&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",,https://www.airbnb.ch/rooms/1280932025399837362?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742322002_P3960P8SPKptBC8x&previous_page_section_name=1000&federated_search_id=7f07d34d-d3a7-4e4b-859e-0fc71aa314e9,Open Air
"Herisau, Zuhause mittendrin und trotzdem ruhig",50 CHF,https://www.airbnb.ch/rooms/25358802?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1057611759&source_impression_id=p3_1742323432_P3MQSCLCKGUQRX2J&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",276 CHF,https://www.airbnb.ch/rooms/1280932025399837362?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323437_P3YS4-EYn8ICuINS&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Schöne Wohnung im Herzen von Herisau bis 4 Gäste,200 CHF,https://www.airbnb.ch/rooms/52104598?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3Wo2H2tYEQCS40q&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Gemütliche Wohnung in St. Gallen,115 CHF,https://www.airbnb.ch/rooms/1201532087872965913?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3sywpYhlvNyWHDC&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Schöne Wohnung im Herzen von Herisau bis 6 Gäste,300 CHF,https://www.airbnb.ch/rooms/52105121?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3hT3ciUkIP34gPo&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Moderne Ruheoase auf entlegenem Hügel,130 CHF,https://www.airbnb.ch/rooms/752011886508070402?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3IuvWw73B-5tnlq&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,https://www.airbnb.ch/rooms/697517?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1349005821&source_impression_id=p3_1742323438_P3AYffPtJv8TLK35&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Altbau-Oase/ Zentral & Gemütlich,145 CHF,https://www.airbnb.ch/rooms/1378779785675848684?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3qmbnXnzAWG7llZ&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Zimmer mit separater Dusche,38 CHF,https://www.airbnb.ch/rooms/32656994?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=997136320&source_impression_id=p3_1742323438_P3Y4SC3y8d8Ug3YI&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742323438_P34CZ9xZh0OoS0uk&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3pZPiUTysXD3sBw&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
winzige Wohnung,95 CHF,https://www.airbnb.ch/rooms/54369584?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3KVsMsegw4gvti8&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Schönes Einzelzimmer, zentral",30 CHF,https://www.airbnb.ch/rooms/1249206762119913900?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2077775382&source_impression_id=p3_1742323438_P3XQBgn0JDi1QWVy&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Moderne Wohnung nahe OLMA Messe,190 CHF,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3gKQklUYgzdl2Q4&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",44 CHF,https://www.airbnb.ch/rooms/43076325?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1136469183&source_impression_id=p3_1742323438_P3zgcdBTliGUOMDj&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Zentrale Stadtwohnung mit Terasse,180 CHF,https://www.airbnb.ch/rooms/42128949?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3FjOATG-c3gAxoD&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Birkenhof, Haus Märli",500 CHF,https://www.airbnb.ch/rooms/1254262698928353569?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P37c7A0lIk6mwI4w&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,https://www.airbnb.ch/rooms/964210138285327314?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3Jadcb3bq-d7U1L&previous_page_section_name=1000&federated_search_id=6f96250d-d3c1-4106-9aa2-c2100a274c7b,Open Air
"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",276 CHF,https://www.airbnb.ch/rooms/1279050772829252627?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324812_P3KAw2itdwlbmknw&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",230 CHF,https://www.airbnb.ch/rooms/631007400205214375?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324813_P35R1MiYvSn72kaL&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
St.-Gallen Ost 1 IN OLMA IN Zentral I Culture,317 CHF,https://www.airbnb.ch/rooms/1312926767571539260?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324813_P3oTFsnfyjaA6-m3&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
TouchBed | Budget-Studio,199 CHF,https://www.airbnb.ch/rooms/22469139?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324813_P3ss_FRmPA93J0XW&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742324813_P3jNhlkz1HfqT8Ws&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,https://www.airbnb.ch/rooms/697517?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1349005821&source_impression_id=p3_1742324813_P3VVMkkJ2IZe9hxk&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Zimmer mit separater Dusche,38 CHF,https://www.airbnb.ch/rooms/32656994?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=997136320&source_impression_id=p3_1742324814_P3Or6vc6jxDpQ60w&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Altbau-Oase/ Zentral & Gemütlich,145 CHF,https://www.airbnb.ch/rooms/1378779785675848684?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3qmbnXnzAWG7llZ&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
"Birkenhof, Haus Märli",500 CHF,https://www.airbnb.ch/rooms/1254262698928353569?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324814_P3uUroLVtdwYQjNO&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",276 CHF,https://www.airbnb.ch/rooms/1280932025399837362?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324816_P3IvAdgf05QYa3CW&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742323438_P3pZPiUTysXD3sBw&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Moderne Wohnung nahe OLMA Messe,190 CHF,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324817_P3R18_CQLA13t8m0&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,https://www.airbnb.ch/rooms/964210138285327314?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324817_P3u-9AMg6984fkqV&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
Zentrale Stadtwohnung mit Terasse,180 CHF,https://www.airbnb.ch/rooms/42128949?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324817_P3LiBrZLwQUsspVF&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
winzige Wohnung,95 CHF,https://www.airbnb.ch/rooms/54369584?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742324817_P3-Y9ZvA2KvR6cTU&previous_page_section_name=1000&federated_search_id=77c51cf2-e33b-45eb-b6a6-59605e79192f,Open Air
