club,n_comments,avg_compound,avg_pos_score,avg_neg_score,avg_neu_score,pct_very_positive,pct_positive,pct_neutral,pct_negative,pct_very_negative
Berlin,20,0.652,0.476,0.013,0.512,80.000,0.000,20.000,0.000,0.000
Mainz,20,0.622,0.365,0.067,0.569,80.000,0.000,15.000,0.000,5.000
Freiburg,15,0.555,0.434,0.018,0.548,73.300,0.000,26.700,0.000,0.000
Leverkusen,18,0.513,0.501,0.048,0.451,66.700,11.100,16.700,0.000,5.600
Kiel,11,0.497,0.401,0.000,0.599,72.700,0.000,27.300,0.000,0.000
Hoffenheim,11,0.469,0.390,0.022,0.588,63.600,0.000,36.400,0.000,0.000
St.Pauli,10,0.442,0.375,0.048,0.577,70.000,0.000,20.000,0.000,10.000
Bvb,18,0.433,0.354,0.014,0.632,55.600,5.600,33.300,5.600,0.000
Heidenheim,20,0.411,0.359,0.058,0.583,60.000,5.000,25.000,0.000,10.000
Bayern,20,0.407,0.341,0.006,0.653,50.000,5.000,45.000,0.000,0.000
Bremen,19,0.393,0.267,0.008,0.725,42.100,15.800,42.100,0.000,0.000
Wolfsburg,9,0.364,0.261,0.048,0.691,55.600,0.000,44.400,0.000,0.000
Vfb,20,0.352,0.306,0.000,0.694,50.000,5.000,45.000,0.000,0.000
Frankfurt,13,0.296,0.330,0.021,0.649,46.200,0.000,46.200,0.000,7.700
Bochum,42,0.248,0.187,0.041,0.771,38.100,4.800,50.000,0.000,7.100
MoÌˆNchengladbach,9,0.242,0.229,0.058,0.713,44.400,0.000,44.400,0.000,11.100
Leipzig,20,0.237,0.222,0.088,0.690,40.000,5.000,45.000,5.000,5.000
Augsburg,13,0.171,0.181,0.024,0.795,23.100,15.400,46.200,7.700,7.700
