date,institute,AfD,BSW,CDU/CSU,FDP,GRÃœNE,LINKE,SPD
23.02.2025,INSA,0.20800000000000002,0.049800000000000004,0.285,0.043,0.11599999999999999,0.08800000000000001,0.16399999999999998
22.02.2025,INSA,0.21,0.05,0.295,0.045,0.125,0.075,0.15
20.02.2025,INSA,0.21,0.05,0.3,0.04,0.13,0.07,0.15
17.02.2025,INSA,0.22,0.05,0.3,0.045,0.13,0.065,0.15
15.02.2025,INSA,0.21,0.05,0.3,0.04,0.13,0.06,0.15
10.02.2025,INSA,0.22,0.055,0.3,0.04,0.13,0.06,0.155
08.02.2025,INSA,0.21,0.06,0.29,0.04,0.12,0.05,0.16
03.02.2025,INSA,0.22,0.055,0.3,0.045,0.13,0.05,0.16
01.02.2025,INSA,0.22,0.06,0.3,0.04,0.12,0.04,0.17
30.01.2025,INSA,0.22,0.06,0.29,0.04,0.13,0.04,0.17
27.01.2025,INSA,0.22,0.06,0.3,0.045,0.125,0.045,0.155
25.01.2025,INSA,0.21,0.07,0.3,0.04,0.12,0.04,0.16
20.01.2025,INSA,0.215,0.07,0.29,0.05,0.13,0.04,0.16
18.01.2025,INSA,0.21,0.07,0.29,0.05,0.13,0.04,0.16
13.01.2025,INSA,0.22,0.065,0.31,0.04,0.13,0.035,0.15
11.01.2025,INSA,0.22,0.06,0.3,0.04,0.13,0.03,0.16
06.01.2025,INSA,0.215,0.065,0.31,0.04,0.135,0.03,0.155
04.01.2025,INSA,0.2,0.07,0.31,0.04,0.13,0.03,0.16
30.12.2024,INSA,0.205,0.07,0.31,0.035,0.12,0.04,0.165
28.12.2024,INSA,0.2,0.07,0.31,0.04,0.12,0.03,0.17
23.12.2024,INSA,0.195,0.08,0.31,0.05,0.125,0.03,0.16
21.12.2024,INSA,0.2,0.08,0.32,0.05,0.12,0.03,0.16
16.12.2024,INSA,0.195,0.08,0.315,0.05,0.115,0.025,0.165
14.12.2024,INSA,0.2,0.08,0.31,0.05,0.11,0.03,0.17
09.12.2024,INSA,0.195,0.08,0.315,0.045,0.115,0.03,0.17
07.12.2024,INSA,0.19,0.08,0.32,0.04,0.12,0.04,0.16
02.12.2024,INSA,0.185,0.075,0.315,0.045,0.13,0.035,0.16
30.11.2024,INSA,0.18,0.08,0.32,0.05,0.13,0.03,0.15
25.11.2024,INSA,0.195,0.075,0.325,0.045,0.11,0.035,0.15
23.11.2024,INSA,0.19,0.07,0.32,0.05,0.11,0.04,0.14
18.11.2024,INSA,0.19,0.075,0.32,0.045,0.11,0.035,0.16
16.11.2024,INSA,0.19,0.08,0.32,0.04,0.1,0.04,0.16
11.11.2024,INSA,0.195,0.07,0.325,0.05,0.115,0.035,0.155
09.11.2024,INSA,0.19,0.07,0.32,0.04,0.1,0.04,0.15
05.11.2024,INSA,0.18,0.08,0.32,0.045,0.105,0.035,0.155
02.11.2024,INSA,0.18,0.08,0.32,0.04,0.1,0.04,0.16
28.10.2024,INSA,0.19,0.09,0.31,0.04,0.11,0.025,0.15
26.10.2024,INSA,0.19,0.09,0.3,0.04,0.11,0.03,0.15
21.10.2024,INSA,0.19,0.09,0.305,0.04,0.1,0.025,0.165
19.10.2024,INSA,0.19,0.09,0.31,0.04,0.1,0.03,0.16
14.10.2024,INSA,0.185,0.09,0.315,0.04,0.1,0.035,0.16
12.10.2024,INSA,0.19,0.09,0.31,0.04,0.11,0.03,0.16
07.10.2024,INSA,0.2,0.08,0.315,0.04,0.105,0.025,0.16
05.10.2024,INSA,0.2,0.08,0.31,0.04,0.11,0.03,0.16
30.09.2024,INSA,0.19,0.095,0.315,0.04,0.11,0.025,0.15
28.09.2024,INSA,0.19,0.1,0.32,0.04,0.11,0.03,0.15
23.09.2024,INSA,0.2,0.1,0.32,0.035,0.095,0.025,0.155
21.09.2024,INSA,0.2,0.1,0.32,0.04,0.1,0.02,0.15
16.09.2024,INSA,0.195,0.1,0.33,0.045,0.1,0.025,0.14
14.09.2024,INSA,0.19,0.1,0.33,0.04,0.1,0.03,0.14
10.09.2024,INSA,0.195,0.1,0.325,0.04,0.1,0.025,0.14
07.09.2024,INSA,0.19,0.1,0.31,0.04,0.1,0.03,0.15
02.09.2024,INSA,0.19,0.095,0.315,0.045,0.105,0.025,0.15
31.08.2024,INSA,0.19,0.09,0.31,0.04,0.11,0.03,0.16
